Source:,C:/Users/Marco/Documents/Kicad/Projets/Alexiares_HPF/HPF.sch,,
Date:,09/01/2018 09:03,,
Tool:,Eeschema 4.0.7,,
Generator:,C:/Program Files/KiCad/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py,,
Component Count:,174,,
Ref,Qnty,Value,Footprint
"C7, ",1,100n,Capacitors_SMD:C_0805_HandSoldering
"C8, ",1,1n,Capacitors_SMD:C_0805_HandSoldering
"C9, C14, ",2,10uf,Capacitors_Tantalum_SMD:CP_Tantalum_Case-B_EIA-3528-21_Hand
"C11, ",1,10p,Capacitors_SMD:C_0805_HandSoldering
"C15, C12, ",2,60p,Capacitors_SMD:C_0805_HandSoldering
"C16, C10, C13, ",3,100p,Capacitors_SMD:C_0805_HandSoldering
"C81, C80, C79, C78, C77, C76, C159, C157, C158, C162, C161, C160, C82, C163, C156, C83, C155, C90, C154, C88, C153, C87, C152, C86, C151, C85, C150, C84, C4, C1, C3, C2, C5, C6, ",34,10n,Capacitors_SMD:C_0805_HandSoldering
"C93, C116, C109, ",3,330p,Capacitors_SMD:C_1206_HandSoldering
"C97, C107, C102, C96, C95, C183, ",6,2.2n,Capacitors_SMD:C_1206_HandSoldering
"C98, C143, C144, C133, ",4,1.8n,Capacitors_SMD:C_1206_HandSoldering
"C100, C115, C106, ",3,1.5n,Capacitors_SMD:C_1206_HandSoldering
"C101, ",1,1.2n,Capacitors_SMD:C_1206_HandSoldering
"C117, C137, C139, ",3,270p,Capacitors_SMD:C_1206_HandSoldering
"C118, C94, C127, C110, C104, C103, ",6,220p,Capacitors_SMD:C_1206_HandSoldering
"C121, ",1,100p,Capacitors_SMD:C_1206_HandSoldering
"C123, C111, ",2,33p,Capacitors_SMD:C_1206_HandSoldering
"C125, ",1,1n,Capacitors_SMD:C_1206_HandSoldering
"C128, C140, ",2,68p,Capacitors_SMD:C_1206_HandSoldering
"C129, C112, C120, ",3,180p,Capacitors_SMD:C_1206_HandSoldering
"C130, C122, ",2,47p,Capacitors_SMD:C_1206_HandSoldering
"C131, C113, ",2,120p,Capacitors_SMD:C_1206_HandSoldering
"C132, C108, ",2,22p,Capacitors_SMD:C_1206_HandSoldering
"C134, ",1,680,Capacitors_SMD:C_1206_HandSoldering
"C136, C126, ",2,390p,Capacitors_SMD:C_1206_HandSoldering
"C145, C91, ",2,820p,Capacitors_SMD:C_1206_HandSoldering
"C146, C124, ",2,680p,Capacitors_SMD:C_1206_HandSoldering
"C147, ",1,68pC,Capacitors_SMD:C_1206_HandSoldering
"C148, C135, C119, ",3,560p,Capacitors_SMD:C_1206_HandSoldering
"C149, C92, ",2,470p,Capacitors_SMD:C_1206_HandSoldering
"D1, ",1,diode,Diodes_SMD:D_1206
"D2, D3, D5, D4, ",4,D,Diodes_SMD:D_0805
"J2, ",1,Conn_01x12,Connect:IDC_Header_Straight_12pins
"J3, J1, ",2,CONN_COAXIAL,Connectors:SMA_THT_Jack_Straight
"J5, J4, ",2,CONN_COAXIAL,SMA_PINS:SMA_EDGE_NRW
"L16, L2, L10, L5, L13, L3, L11, L4, L12, L7, L15, L6, L14, L8, L9, L1, ",16,Choke,Inductors_SMD:L_0805_HandSoldering
"L18, ",1,3.5u,T50:T50_V_THT
"L19, ",1,1.14uH,T50:T50_V_THT
"L21, ",1,562nH,T50:T50_V_THT
"L22, ",1,311nH,T50:T50_V_THT
"L23, L34, L35, L17, ",4,220n,Inductors_SMD:L_0805_HandSoldering
"L28, ",1,434nH,T50:T50_V_THT
"L29, L24, ",2,6.25u,T50:T50_V_THT
"L30, L25, ",2,1.55uH,T50:T50_V_THT
"L31, L26, ",2,940nH,T50:T50_V_THT
"L32, L27, L20, ",3,650nH,T50:T50_V_THT
"L33, ",1,511nH,T50:T50_V_THT
"Q2, ",1,zvp2106G,TO_SOT_Packages_SMD:SOT-223
"R1, R2, ",2,100R,Resistors_SMD:R_0805_HandSoldering
"R3, ",1,18,Resistors_SMD:R_0805_HandSoldering
"R5, ",1,10k,Resistors_SMD:R_0805_HandSoldering
"R10, ",1,75R,Resistors_SMD:R_0805_HandSoldering
"R11, ",1,240R,Resistors_SMD:R_0805_HandSoldering
"R12, R13, ",2,62R,Resistors_SMD:R_0805_HandSoldering
"RL28, RL27, RL29, RL26, RL25, RL24, RL23, RL16, RL17, RL18, RL19, RL20, RL21, RL22, RL2, RL1, ",16,EC2-12 NU,2_Form_C_Relay:Relay_DPDT_NEC_EC2
"TP1, TP2, TP3, TP4, ",4,TEST,Mounting_Holes:MountingHole_3.5mm_Pad
"U1, ",1,AP1117-50,TO_SOT_Packages_SMD:SOT-223-3_TabPin2
"U2, ",1,PGA103+,TO_SOT_Packages_SMD:SOT-89-3_Handsoldering
